Маршрут,Порядок,Город,Адрес,Подъезды,lat,lon
1,1,Липецк,Желябова 14,4,52.6155438,39.6002269
1,2,Липецк,Желябова 28А,3,52.6160643,39.6000586
1,3,Липецк,Гагарина 29,2,52.6173064,39.5997652
1,4,Липецк,Гагарина 31,2,52.6172797,39.5990439
1,5,Липецк,Гагарина 33,6,52.6167854,39.5983818
1,6,Липецк,Желябова 31А,5,52.6155844,39.59869
1,7,Липецк,Зегеля 27 1,1,52.6160347,39.5970604
1,8,Липецк,Гагарина 27,4,52.6173368,39.6007109
1,9,Липецк,Гагарина 25,2,52.6173803,39.6016423
1,10,Липецк,Гагарина 34,4,52.6179538,39.6022572
1,11,Липецк,Гагарина 36,3,52.6182275,39.6016299
1,12,Липецк,Гагарина 23,4,52.6174437,39.6032688
1,13,Липецк,Гагарина 32,4,52.6180086,39.6034864
1,14,Липецк,Интернациональная 35Б,4,52.614494,39.603874
1,15,Липецк,Интернациональная 29,4,52.613485,39.6038798
1,16,Липецк,Желябова 4,4,52.6134663,39.6026766
1,17,Липецк,Желябова 7,2,52.6128086,39.602655
1,18,Липецк,Желябова 3,4,52.612321,39.6033869
1,19,Липецк,Интернациональная 19,3,52.6125335,39.6015255
1,20,Липецк,Интернациональная 11,4,52.6121253,39.6007482
1,21,Липецк,Желябова 12,4,52.6147558,39.6007383
1,22,Липецк,Желябова 12А,4,52.6151241,39.6013646
1,23,Липецк,Плеханова 1А,1,52.6121142,39.5946895
1,24,Липецк,Плеханова 1Б,1,52.6122696,39.593931
1,25,Липецк,Плеханова 3,7,52.6110574,39.593462
2,1,Липецк,Ленина 13,1,52.0050588,38.0961814
2,2,Липецк,Ленина 15,1,52.0050588,38.0961814
2,3,Липецк,Ленина 31,1,52.0050588,38.0961814
2,4,Липецк,Ленина 41,1,52.0050588,38.0961814
2,5,Липецк,Ленина 43,1,52.0050588,38.0961814
2,6,Липецк,Ленина 7,1,52.0050588,38.0961814
2,7,Липецк,Ленина 9,1,52.0050588,38.0961814
3,1,Липецк,Космонавтов 47 2,4,52.6040496,39.541477
3,2,Липецк,Космонавтов 47 4,6,52.6031742,39.5417873
3,3,Липецк,Космонавтов 47 5,4,52.6030404,39.5411776
3,4,Липецк,Космонавтов 49 4,4,52.6027677,39.540627
3,5,Липецк,Космонавтов 6,6,52.6023728,39.5421403
3,6,Липецк,Звездная 13,5,52.6001853,39.5416025
3,7,Липецк,Звездная 11,5,52.6002906,39.5431292
3,8,Липецк,Звездная 13 2,5,52.6003086,39.539102
3,9,Липецк,Космонавтов 96Б,2,52.604323,39.5384485
3,10,Липецк,9-й микрорайон 14Б,4,52.6054033,39.5377296
3,11,Липецк,Вермишева 2,6,52.6042382,39.5364765
3,12,Липецк,9-й микрорайон 12,2,52.6069791,39.5394896
3,13,Липецк,9-й микрорайон 11,2,52.6067066,39.5400898
3,14,Липецк,Космонавтов 108,1,52.6056639,39.5405671
3,15,Липецк,Космонавтов 102,1,52.607053,39.5432846
3,16,Липецк,Космонавтов 100,1,52.6075439,39.5441803
3,17,Липецк,9-й микрорайон 2,2,52.6085867,39.5438193
3,18,Липецк,9-й микрорайон 3,2,52.6088585,39.5431779
3,19,Липецк,Космонавтов 41 1,8,52.6068076,39.545219
4,1,Липецк,Меркулова 43,9,52.5838076,39.5312839
4,2,Липецк,Меркулова 18,4,52.5843669,39.5298322
4,3,Липецк,Есенина 1,5,52.5852752,39.5298589
4,4,Липецк,Есенина 3,4,52.5854798,39.5286208
4,5,Липецк,Меркулова 24,7,52.5838163,39.5275773
4,6,Липецк,Катукова 16,5,52.5833462,39.5269843
4,7,Липецк,Меркулова 57,7,52.5820924,39.5317655
4,8,Липецк,Катукова 12,1,52.5813911,39.5317174
4,9,Липецк,Катукова 10,2,52.5813255,39.53262
4,10,Липецк,Катукова 8,2,52.5809322,39.5326948
4,11,Липецк,Катукова 4,5,52.5805079,39.5332596
4,12,Липецк,Катукова 6,4,52.581365,39.533662
4,13,Липецк,Меркулова 39,3,52.5852996,39.5332823
4,14,Липецк,Меркулова 37,2,52.5856612,39.5339715
4,15,Липецк,60 лет СССР 19,4,52.5855839,39.5350544
4,16,Липецк,60 лет СССР 47,3,52.5846618,39.5378977
